127.0.0.1 - - [02/Mar/2023:12:32:17 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:32:19 +0530] "GET /Project/ HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:32:19 +0530] "GET /Project/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:32:19 +0530] "GET /Project/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:32:19 +0530] "GET /Project/assets/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:32:19 +0530] "GET /Project/assets/js/jquery-1.10.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:32:19 +0530] "GET /Project/assets/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:32:19 +0530] "GET /Project/assets/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:32:19 +0530] "GET /Project/assets/img/musical-instruments.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:32:20 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:32:20 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:34:33 +0530] "POST /Project/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:34:33 +0530] "GET /Project/after-admin-login.jsp HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:34:33 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:34:33 +0530] "GET /Project/assets/fonts/fontawesome-webfont862f.woff?v=4.1.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:03 +0530] "GET /Project/after-admin-login.jsp HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:04 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:05 +0530] "GET /Project/after-admin-login.jsp HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:05 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:12 +0530] "GET /Project/after-admin-login.jsp HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:12 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:24 +0530] "GET /Project/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:24 +0530] "GET /Project/index.jsp HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:25 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:37 +0530] "POST /Project/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:37 +0530] "GET /Project/after-admin-login.jsp HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:38 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:49 +0530] "GET /Project/after-admin-login.jsp HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:49 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:49 +0530] "GET /Project/after-admin-login.jsp HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:50 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:53 +0530] "GET /Project/daily-report.jsp HTTP/1.1" 200 9339
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:53 +0530] "GET /Project/assets/js/dataTables/dataTables.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:53 +0530] "GET /Project/assets/js/dataTables/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:53 +0530] "GET /Project/assets/js/dataTables/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:54 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:59 +0530] "GET /Project/sales.jsp HTTP/1.1" 200 7811
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:36:59 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:37:04 +0530] "GET /Project/after-admin-login.jsp HTTP/1.1" 200 6372
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:37:04 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:37:38 +0530] "GET /Project/add-product.jsp HTTP/1.1" 200 7253
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:37:38 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [02/Mar/2023:12:38:36 +0530] "POST /Project/AddProduct HTTP/1.1" 302 -
